player_name,season,matches_played,team,avg-raid
Kashiling Adake,1,14,dabang-delhi-kc,8.14
Rahul Chaudhari,1,14,telugu-titans,7
Ajay Thakur,1,13,bengaluru-bulls,6.08
Wazir Singh,1,11,puneri-paltan,5.91
Anup Kumar,1,14,u-mumba,5.29
Pravin Niwale,1,8,puneri-paltan,5.13
Rajesh Narwal,1,14,jaipur-pink-panthers,4.93
Jasvir Singh,1,13,jaipur-pink-panthers,4.92
Sukesh Hegde,1,13,telugu-titans,4.77
Sonu Narwal,1,11,jaipur-pink-panthers,4.64
Shabeer Bappu,1,10,u-mumba,4.6
Mahendra Ganesh Rajput,1,12,bengal-warriors,4.58
Rohit Kumar Choudary,1,14,dabang-delhi-kc,4.36
Manjeet Chhillar,1,16,bengaluru-bulls,4.19
Deepak Niwas Hooda,1,15,telugu-titans,4
Ravi Dalal,1,11,patna-pirates,4
Ravi V.,1,2,puneri-paltan,4
Pradeep Kumar,1,6,u-mumba,4
Prashanth Kumar Rai,1,15,telugu-titans,3.6
Deepak Narwal,1,16,patna-pirates,3.56
Rakesh Kumar,1,4,patna-pirates,3.5
Jang Kun Lee,1,14,bengal-warriors,3.43
Sunil Jaipal,1,10,bengal-warriors,3.4
Rishank Devadiga,1,13,u-mumba,3.38
Kalimuthu Balamahendran,1,6,puneri-paltan,3
Mahesh Goud,1,1,bengal-warriors,3
Yogesh Hooda,1,4,puneri-paltan,3
Deepak Kumar Dahiya,1,2,bengaluru-bulls,3
Rohit Baliyan,1,5,telugu-titans,3
Gurvinder Singh,1,16,patna-pirates,2.93
Sandeep Narwal,1,16,patna-pirates,2.88
Sachin Vittala,1,4,puneri-paltan,2.75
Jitesh Joshi,1,5,puneri-paltan,2.6
Surender Singh,1,2,puneri-paltan,2.5
Tushar Patil,1,6,puneri-paltan,2.5
Sanjay Kumar,1,7,puneri-paltan,2.5
Amit Om Prakash Rathi,1,5,puneri-paltan,2.4
Dinesh Kumar,1,8,bengal-warriors,2.38
Bhupender Singh,1,11,u-mumba,2.2
Rajesh Mondal,1,15,bengaluru-bulls,2.2
Rakesh Narwal,1,11,bengaluru-bulls,2.1
Meraj Sheykh,1,15,telugu-titans,2.07
Kuldeep Singh,1,14,jaipur-pink-panthers,2
Ashish Chhokar,1,6,bengaluru-bulls,2
Tae Deok Eom,1,8,patna-pirates,1.83
Mahipal Narwal,1,9,puneri-paltan,1.67
Isac Antony,1,7,telugu-titans,1.67
Pawan Kumar Kadian,1,10,u-mumba,1.6
Selvamani K,1,10,dabang-delhi-kc,1.56
Pardeep Narwal,1,6,bengaluru-bulls,1.5
Ran Singh,1,14,jaipur-pink-panthers,1.44
Sandeep Kandola,1,16,telugu-titans,1.38
Dharmaraj Cheralathan,1,15,bengaluru-bulls,1.36
Kedar Lal,1,9,bengal-warriors,1.33
K. Prapanjan,1,4,u-mumba,1.25
Shrikant Tewthia,1,9,dabang-delhi-kc,1.25
Suresu Kumar,1,1,u-mumba,1
Vineet Sharma,1,8,bengal-warriors,1
Dadaso Balaso Awad,1,7,dabang-delhi-kc,0.83
Vijay Malik,1,7,patna-pirates,0.71
Amit Kumar Tomar,1,9,dabang-delhi-kc,0.67
Sandeep Tomar,1,3,dabang-delhi-kc,0.67
Ashish Kumar,1,5,bengaluru-bulls,0.5
Amit Hooda,1,12,patna-pirates,0.45
Gangadhari Mallesh,1,10,jaipur-pink-panthers,0.43
Nilesh Shinde,1,12,bengal-warriors,0.43
Ravinder Pahal,1,14,dabang-delhi-kc,0.36
Manoj Kumar,1,14,puneri-paltan,0.3
Preetam Chhillar,1,12,bengaluru-bulls,0.29
Surender Nada,1,14,u-mumba,0.27
Parveen M. Jangra,1,6,bengal-warriors,0.25
Mohammad Maghshoudulu,1,4,jaipur-pink-panthers,0.25
Rakesh Singh Kumar,1,13,dabang-delhi-kc,0
Ravi Kumar,1,13,puneri-paltan,0
Prashant Chavan,1,11,jaipur-pink-panthers,0
Sachin Khambe,1,8,bengal-warriors,0
Chandran Ranjit,1,1,telugu-titans,0
