player_name,season,matches_played,team,avg-tackle
Vishal Bhardwaj,1,18,telugu-titans,3.39
Sumit,1,18,up-yoddha,3.39
Sandeep Kumar Dhull,1,20,jaipur-pink-panthers,3.35
Fazel Atrachali,1,19,u-mumba,3.16
Baldev Singh,1,20,bengal-warriors,2.95
Vishal,1,14,jaipur-pink-panthers,2.93
Mahender Singh,1,16,bengaluru-bulls,2.88
Ravinder Pahal,1,20,dabang-delhi-kc,2.85
Nitesh Kumar,1,18,up-yoddha,2.78
Sunil,1,17,haryana-steelers,2.71
Neeraj Kumar,1,19,patna-pirates,2.68
PO Surjeet Singh,1,19,puneri-paltan,2.68
Rinku Narwal,1,20,bengal-warriors,2.65
Saurabh Nandal,1,18,bengaluru-bulls,2.61
Amit Hooda,1,14,jaipur-pink-panthers,2.57
Sunil Kumar,1,18,gujarat-fortunegiants,2.56
Jaideep,1,19,patna-pirates,2.53
Manjeet Chhillar,1,15,tamil-thalaivas,2.47
Dharmaraj Cheralathan,1,17,haryana-steelers,2.41
Parvesh Bhainswal,1,20,gujarat-fortunegiants,2.4
Surinder Singh,1,19,u-mumba,2.37
Ravi Kumar,1,17,haryana-steelers,2.35
Pankaj,1,9,gujarat-fortunegiants,2.33
Joginder Singh Narwal,1,20,dabang-delhi-kc,2.3
Amit Sheoran,1,19,bengaluru-bulls,2.26
Sandeep Narwal,1,19,u-mumba,2.21
Abozar Mohajermighani,1,18,telugu-titans,2.17
Vikas Kale,1,18,haryana-steelers,2.11
Girish Maruti Ernak,1,15,puneri-paltan,2.07
Mohit Chhillar,1,18,tamil-thalaivas,2.06
Sandeep,1,1,puneri-paltan,2
Jadhav Balasaheb Shahaji,1,18,puneri-paltan,1.94
Anil Kumar,1,16,dabang-delhi-kc,1.88
Hadi Oshtorak,1,19,patna-pirates,1.84
Ashu Singh,1,18,up-yoddha,1.78
Santhapanaselvam,1,8,jaipur-pink-panthers,1.75
Jeeva Kumar,1,19,bengal-warriors,1.68
Ran Singh,1,19,tamil-thalaivas,1.58
M. Abishek,1,7,tamil-thalaivas,1.57
Amit Kumar,1,13,puneri-paltan,1.54
Farhad Rahimi Milaghardan,1,18,telugu-titans,1.5
Sanket Sawant,1,5,puneri-paltan,1.4
Manjeet,1,20,puneri-paltan,1.35
Elavarasan A,1,3,jaipur-pink-panthers,1.33
Hadi Tajik,1,12,puneri-paltan,1.33
Monu,1,19,patna-pirates,1.32
Shubham Shinde,1,13,puneri-paltan,1.31
Amit,1,18,up-yoddha,1.28
Nitin Rawal,1,15,jaipur-pink-panthers,1.27
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,1.25
More GB,1,17,gujarat-fortunegiants,1.24
Vishal Mane,1,20,dabang-delhi-kc,1.2
Sagar,1,11,tamil-thalaivas,1.18
C. Arun,1,18,telugu-titans,1.17
Sagar B Krishna,1,12,puneri-paltan,1.17
Harendra Kumar,1,17,u-mumba,1.12
Amit Kumar,1,9,telugu-titans,1.11
Ankit,1,12,gujarat-fortunegiants,1.08
Sumit Malik,1,14,gujarat-fortunegiants,1.07
Ajeet,1,14,tamil-thalaivas,1
Ruturaj Shivaji Koravi,1,15,gujarat-fortunegiants,1
Rakesh Gowda,1,9,telugu-titans,1
Mohit Sehrawat,1,13,bengaluru-bulls,0.92
Kuldeep Singh,1,9,haryana-steelers,0.89
Saeid Ghaffari,1,9,dabang-delhi-kc,0.89
Viraj Vishnu Landge,1,8,bengal-warriors,0.88
Ankit,1,7,bengaluru-bulls,0.86
Mayur Shivtarkar,1,7,bengal-warriors,0.86
Vikas Jaglan,1,19,patna-pirates,0.84
Pavan T. R.,1,15,jaipur-pink-panthers,0.8
Pawan Kumar Sehrawat,1,19,bengaluru-bulls,0.74
Jawahar Dagar,1,7,patna-pirates,0.71
Ashish Kumar,1,7,bengaluru-bulls,0.71
Krushna Madane,1,9,telugu-titans,0.67
Chand Singh,1,9,haryana-steelers,0.67
Kamal Singh,1,3,telugu-titans,0.67
Parveen,1,6,haryana-steelers,0.67
Vineet Sharma,1,11,tamil-thalaivas,0.64
Sunil Siddhgavali,1,14,jaipur-pink-panthers,0.64
Young Chang Ko,1,10,u-mumba,0.6
Deepak Niwas Hooda,1,20,jaipur-pink-panthers,0.6
Amit Kharb,1,5,gujarat-fortunegiants,0.6
Ravinder,1,5,patna-pirates,0.6
Vijay,1,19,dabang-delhi-kc,0.58
Vijay Kumar,1,9,bengaluru-bulls,0.56
Surender Gill,1,15,up-yoddha,0.53
Shabeer Bappu,1,14,tamil-thalaivas,0.5
Nitin Tomar,1,13,puneri-paltan,0.46
Rohit Gulia,1,20,gujarat-fortunegiants,0.45
Vinod Kumar,1,9,gujarat-fortunegiants,0.44
Ponparthiban Subramanian,1,7,tamil-thalaivas,0.43
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,0.41
Rahul Chaudhari,1,20,tamil-thalaivas,0.4
Rajaguru Subramanian,1,5,u-mumba,0.4
Sachin Kumar,1,12,up-yoddha,0.33
Naveen Narwal,1,3,bengal-warriors,0.33
Adarsh T,1,9,bengal-warriors,0.33
Hemant Chauhan,1,3,tamil-thalaivas,0.33
Monu Goyat,1,10,up-yoddha,0.3
Mohsen Maghsoudloujafari,1,11,up-yoddha,0.27
Banty,1,11,bengaluru-bulls,0.27
Vikash Kandola,1,16,haryana-steelers,0.25
Rohit Baliyan,1,16,u-mumba,0.25
Rohit Kumar,1,17,bengaluru-bulls,0.24
Ajay,1,9,bengaluru-bulls,0.22
Vinay,1,19,haryana-steelers,0.21
Chandran Ranjit,1,19,dabang-delhi-kc,0.21
Sumit Singh,1,15,bengaluru-bulls,0.2
Rajnish,1,10,telugu-titans,0.2
Pankaj Mohite,1,16,puneri-paltan,0.19
Siddharth Sirish Desai,1,18,telugu-titans,0.17
Shrikant Jadhav,1,18,up-yoddha,0.17
Darshan Kadian,1,7,puneri-paltan,0.14
Naveen,1,14,haryana-steelers,0.14
Nilesh Salunke,1,17,jaipur-pink-panthers,0.12
K. Prapanjan,1,18,bengal-warriors,0.11
Naveen Kumar,1,20,dabang-delhi-kc,0.1
Sachin Narwal,1,12,jaipur-pink-panthers,0.08
Suraj Desai,1,12,telugu-titans,0.08
Jang Kun Lee,1,13,patna-pirates,0.08
Rishank Devadiga,1,14,up-yoddha,0.07
Deepak Narwal,1,17,jaipur-pink-panthers,0.06
Abhishek Singh,1,17,u-mumba,0.06
Sachin Tanwar,1,16,gujarat-fortunegiants,0.06
Narender,1,3,up-yoddha,0
Armaan,1,6,telugu-titans,0
V. Ajith Kumar,1,17,tamil-thalaivas,0
Maninder Singh,1,20,bengal-warriors,0
