player_name,season,matches_played,team,super-raids
Pardeep Narwal,1,26,patna-pirates,18
Rishank Devadiga,1,21,up-yoddha,12
Deepak Niwas Hooda,1,24,puneri-paltan,8
Nitin Tomar,1,20,up-yoddha,7
Maninder Singh,1,21,bengal-warriors,6
Rahul Chaudhari,1,22,telugu-titans,5
Monu Goyat,1,26,patna-pirates,4
Nitin Rawal,1,21,jaipur-pink-panthers,4
Kashiling Adake,1,20,u-mumba,4
Chandran Ranjit,1,11,gujarat-fortunegiants,3
Jasvir Singh,1,15,jaipur-pink-panthers,3
Ajay Thakur,1,22,tamil-thalaivas,3
Wazir Singh,1,21,haryana-steelers,3
Prashanth Kumar Rai,1,16,haryana-steelers,3
Mahendra Ganesh Rajput,1,17,gujarat-fortunegiants,3
Deepak Kumar Dahiya,1,16,haryana-steelers,3
Tushar Patil,1,17,jaipur-pink-panthers,3
Meraj Sheykh,1,20,dabang-delhi-kc,3
K. Prapanjan,1,22,tamil-thalaivas,2
Surender Singh,1,18,up-yoddha,2
Pawan Kumar Kadian,1,21,jaipur-pink-panthers,2
Sukesh Hegde,1,18,gujarat-fortunegiants,2
Shrikant Jadhav,1,19,u-mumba,2
Anup Kumar,1,21,u-mumba,2
Bhupender Singh,1,17,bengal-warriors,2
Nilesh Salunke,1,21,telugu-titans,2
Sachin,1,24,gujarat-fortunegiants,2
Vinod Kumar,1,21,patna-pirates,2
Ajay Kumar,1,22,bengaluru-bulls,2
Mohsen Maghsoudloujafari,1,16,telugu-titans,2
Anand Patil,1,19,dabang-delhi-kc,2
Ajit Singh,1,11,jaipur-pink-panthers,1
Elangeshwaran R,1,5,telugu-titans,1
Vijay,1,19,patna-pirates,1
Darshan Kadian,1,16,u-mumba,1
Rohit Kumar,1,22,bengaluru-bulls,1
Vikash Khandola,1,9,haryana-steelers,1
Virender Wazir Singh,1,3,bengal-warriors,1
Monu,1,19,puneri-paltan,1
Gurvinder Singh,1,9,bengaluru-bulls,1
Rajesh Mondal,1,24,puneri-paltan,1
Rajesh Narwal,1,16,up-yoddha,1
Shrikant Tewthia,1,23,bengal-warriors,1
Santhosh B.S,1,9,up-yoddha,1
CPO Surjeet Singh,1,17,haryana-steelers,1
Vikas Jaglan,1,13,patna-pirates,1
Sandeep Narwal,1,21,puneri-paltan,1
Girish Maruti Ernak,1,21,puneri-paltan,1
Ashish Chhokar,1,5,haryana-steelers,1
Preetam Chhillar,1,16,bengaluru-bulls,1
Rakesh Narwal,1,6,gujarat-fortunegiants,1
Deepak Narwal,1,16,bengal-warriors,1
Kuldeep Singh,1,20,u-mumba,1
Rohit Baliyan,1,17,dabang-delhi-kc,1
