team_name,Season,matches_played,all-outs
Patna Pirates,2,16,21
Puneri Paltan,2,14,21
Dabang Delhi K.C.,2,14,20
Bengal Warriors,2,14,17
Bengaluru Bulls,2,16,16
Telugu Titans,2,16,15
U Mumba,2,16,14
Jaipur Pink Panthers,2,14,12
