Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,122,14,16,14,16,22,22,18,telugu-titans
wins,50,6,9,7,8,7,8,5,telugu-titans
draws,15,3,3,0,2,3,1,3,telugu-titans
losses,57,5,4,7,6,12,13,10,telugu-titans
Finishing Position,-,5,2,5,2,5,5,10,telugu-titans
highest score,--60-vs---,--60-vs---,--54-vs---,--45-vs---,--46-vs---,--58-vs---,--53-vs---,--51-vs---,telugu-titans
Biggest Winning Margin,---36-----60--vs---24----,---36-----60--vs---24----,---22-----54--vs---32----,---18-----40--vs---22----,---21-----25--vs---46----,---22-----22--vs---44----,---21-----32--vs---53----,---20-----31--vs---51----,telugu-titans
Total Raids,5240,569,707,609,687,971,953,744,telugu-titans
Successful Raids,1843,272,265,206,206,332,289,273,telugu-titans
unsuccessful raid,1132,116,143,133,133,197,229,181,telugu-titans
empty raids,2265,181,299,270,348,442,435,290,telugu-titans
success raid %,44%,59%,49%,42%,39%,41%,37%,45%,telugu-titans
no. of super raids,62,8,16,3,7,10,9,9,telugu-titans
raid touch points,1799,291,297,201,225,301,246,238,telugu-titans
raid bonus points,487,45,47,53,42,99,107,94,telugu-titans
Total Raid Points,2286,336,344,254,267,400,353,332,telugu-titans
Total Tackles,2807,333,399,304,364,508,486,413,telugu-titans
successful tackles,1067,96,158,101,157,191,202,162,telugu-titans
unsuccesful tackles,1740,237,241,203,207,317,284,251,telugu-titans
successful tackle %,42%,31%,43%,38%,44%,41%,48%,44%,telugu-titans
no. of super tackles,115,8,16,15,5,17,33,21,telugu-titans
all outs inflicted,142,25,26,13,22,25,18,13,telugu-titans
total all out points,284,50,52,26,44,50,36,26,telugu-titans
total defence points,1176,104,172,116,162,207,233,182,telugu-titans
