Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7
Matches Played,126,16,16,16,14,22,23,19
wins,78,9,14,13,7,10,15,10
draws,7,3,0,0,1,0,2,1
losses,41,4,2,3,6,12,6,8
Finishing Position,-,2,1,1,4,4,2,4
highest score,--53-vs---,--45-vs---,--39-vs---,--41-vs---,--38-vs---,--51-vs---,--53-vs---,--47-vs---
Biggest Winning Margin,---27-----26--vs---53----,---16-----44--vs---28----,---17-----35--vs---18----,---21-----18--vs---39----,---8-----18--vs---26----,---14-----36--vs---22----,---27-----26--vs---53----,---26-----47--vs---21----
Total Raids,5312,624,697,685,594,963,978,771
Successful Raids,1803,270,187,206,188,322,372,258
unsuccessful raid,1148,134,154,139,131,219,196,175
empty raids,2361,220,356,340,275,422,410,338
success raid %,43%,56%,34%,37%,38%,44%,47%,42%
no. of super raids,62,12,7,7,4,10,15,7
raid touch points,1769,262,206,211,164,298,372,256
raid bonus points,498,85,31,42,63,121,87,69
Total Raid Points,2267,347,237,253,227,419,459,325
Total Tackles,2892,409,364,329,293,539,558,400
successful tackles,1216,145,180,163,110,176,274,168
unsuccesful tackles,1676,264,184,166,183,363,284,232
successful tackle %,46%,38%,54%,51%,41%,37%,52%,46%
no. of super tackles,104,12,16,6,11,26,15,18
all outs inflicted,171,21,20,27,15,21,41,26
total all out points,342,42,40,54,30,42,82,52
total defence points,1317,157,196,169,121,202,289,183
