Stat_desc,Overall,Season5,Season6,Season7,Team
Matches Played,66,23,25,18,up-yoddha
wins,28,8,10,10,up-yoddha
draws,10,4,4,2,up-yoddha
losses,28,11,11,6,up-yoddha
Finishing Position,-,3,3,4,up-yoddha
highest score,--53-vs---,--53-vs---,--47-vs---,--42-vs---,up-yoddha
Biggest Winning Margin,---29-----16--vs---45----,---29-----16--vs---45----,---16-----31--vs---47----,---20-----42--vs---22----,up-yoddha
Total Raids,2827,1002,1068,757,up-yoddha
Successful Raids,938,358,357,757,up-yoddha
unsuccessful raid,654,221,357,178,up-yoddha
empty raids,1235,423,456,356,up-yoddha
success raid %,42%,46%,42%,38%,up-yoddha
no. of super raids,38,23,10,5,up-yoddha
raid touch points,884,347,318,219,up-yoddha
raid bonus points,315,114,131,70,up-yoddha
Total Raid Points,1199,461,449,289,up-yoddha
Total Tackles,1560,551,594,415,up-yoddha
successful tackles,600,183,240,177,up-yoddha
unsuccesful tackles,960,368,354,238,up-yoddha
successful tackle %,42%,36%,45%,46%,up-yoddha
no. of super tackles,62,19,27,16,up-yoddha
all outs inflicted,70,23,26,21,up-yoddha
total all out points,140,46,52,42,up-yoddha
total defence points,658,201,265,192,up-yoddha
